Alphabetically,

Berserk | by Kentaro Miura
Blood and Iron: A Novel of the Promethean Age | by Elizabeth Bear
Blood Meridian; or, The Evening Redness in the West | by Cormac McCarthy
Danganronpa: Trigger Happy Havoc | developed by Spike
Danger Days: The True Lives of the Fabulous Killjoys | by My Chemical Romance
Devil May Cry | developed by Capcom Production Studio 4
Dreamside Maroon | developed by terraced
EarthBound | developed by Ape Inc. and HAL Laboratory
Eat-Man | by Akihito Yoshitomi
Fate/stay night | developed by Type-Moon
Final Fantasy 8 | developed by Square
Grey | by Jon Armstrong
Half-Life | developed by Valve
Hellsing | by Kouta Hirano
The Illusion of Gaia | developed by Quintet
Jerusalem | by Alan Moore
Killer7 | developed by Grasshopper Manufacture and Capcom
The Magicians Trilogy | by Lev Grossman
Metal Gear Solid | developed by Konami Computer Entertainment Japan
Metal Gear Solid 4: Guns of the Patriots | developed by Kojima Productions
Metal Gear Solid V: The Phantom Pain | developed by Konami Digital Entertainment
Neon Genesis Evangelion | produced by Gainax
Outlaw Star | produced by Sunrise
Pokemon Blue Version | developed by Game Freak
The Sane Society | by Erich Fromm
Shin Megami Tensei III: Nocturne | developed by Atlus
The Strange Bird: A Borne Story | by Jeff VanderMeer
Worm | by John C. "Wildbow" McCrae
